0.01,0.005,1.67,1.525,3.5525,3.2425,4.28,3.8625,4.645,4.1325,5.0625,4.5475,5.1925,4.665,5.1225,4.5775,4.5525,4.125,3.855,3.455,3.02,2.64,2.2675,1.9475,1.7825,1.4875,1.425,1.19,1.2675,1.07,1.175,0.9725,1.245,1.07,1.33,1.13,1.4275,1.2425,1.44,1.205,1.43
0,0,2.6075,2.34,4.7675,4.2925,4.77,4.3,4.8125,4.3575,4.915,4.405,5.29,4.775,5.2275,4.8125,4.815,4.3675,3.955,3.545,2.815,2.485,1.9825,1.665,1.565,1.2625,1.2975,1.0825,1.285,1.11,1.3,1.055,1.2525,1.065,1.305,1.1275,1.3575,1.1625,1.365,1.1525,1.35
0.0075,0.0025,1.9,1.7225,3.77,3.415,4.3325,3.9225,4.815,4.345,5.325,4.815,5.86,5.33,5.96,5.36,5.4275,4.955,4.935,4.4825,3.9375,3.52,3.0775,2.625,2.335,1.97,2.0425,1.7175,1.825,1.5425,1.6075,1.34,1.5375,1.3275,1.5375,1.29,1.475,1.2575,1.46,1.2475,1.53
0.0025,0.0025,2.1475,1.9075,3.8975,3.4975,4.2175,3.8,4.3925,3.9375,4.3825,3.95,4.545,4.15,4.6025,4.1725,4.275,3.8625,3.56,3.1775,2.7375,2.45,2.0275,1.7625,1.65,1.35,1.415,1.2075,1.235,1.05,1.1475,0.9825,1.2425,1.0325,1.2725,1.1125,1.34,1.1375,1.375,1.1875,1.3175
0.0025,0,2.74,2.4775,5.335,4.8625,6.135,5.6125,6.48,5.92,6.74,6.125,6.9475,6.2625,6.925,6.2625,6.1825,5.55,5.01,4.4875,3.665,3.225,2.605,2.2225,2.175,1.7975,1.96,1.6475,1.805,1.4675,1.7475,1.505,1.765,1.51,1.8175,1.58,1.72,1.4575,1.715,1.4625,1.7025
0.005,0,2.0975,1.89,4.0775,3.6825,4.57,4.135,4.9275,4.47,5.35,4.835,5.815,5.3175,5.77,5.2925,5.255,4.7775,4.3625,3.855,3.3475,2.9525,2.35,2.0225,1.87,1.5525,1.5425,1.2925,1.4675,1.26,1.4275,1.2125,1.4225,1.195,1.4275,1.2175,1.57,1.3825,1.605,1.3375,1.7325
0,0,2.1325,1.91,4.195,3.7825,4.645,4.215,5.01,4.485,5.18,4.675,5.3525,4.9175,5.2575,4.7625,4.425,3.97,3.235,2.8375,2.3125,2.0025,1.8575,1.5975,1.52,1.32,1.405,1.215,1.3,1.105,1.2525,1.0475,1.2225,1.055,1.3575,1.17,1.4075,1.215,1.5,1.28,1.6175
0.0025,0,2.0075,1.7925,3.8275,3.515,4.215,3.75,4.3875,3.9925,4.5925,4.1875,4.8625,4.3825,4.8725,4.44,4.5,4.095,3.73,3.385,2.75,2.485,2.14,1.8525,1.7725,1.54,1.6125,1.33,1.4225,1.18,1.3325,1.14,1.3025,1.12,1.2225,1.045,1.1425,0.9725,1.2275,1.08,1.35
0,0,2.8325,2.5775,5.635,5.0975,6.1275,5.6075,6.595,6.08,6.945,6.35,7.125,6.4675,6.7475,6.145,6.0275,5.425,4.71,4.255,3.4225,3.0225,2.6425,2.23,2.1125,1.785,1.8325,1.5475,1.69,1.37,1.5975,1.415,1.615,1.3475,1.6225,1.3825,1.7,1.45,1.8775,1.59,1.995
0,0,2.105,1.875,4.365,3.935,5.2175,4.6825,5.8625,5.295,6.505,5.91,6.8225,6.155,7.045,6.3625,6.9575,6.255,6.075,5.4625,4.86,4.355,3.585,3.05,2.5125,2.1025,2.0475,1.7425,1.875,1.615,1.885,1.585,1.87,1.5825,1.725,1.435,1.74,1.4975,1.7975,1.575,1.8775
